1,114709,8.3,Toy Story (1995),All | 1h 21min | Animation/ Adventure/ Comedy | 23 December 1995 (South Korea),A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2,113497,7,Jumanji (1995),All | 1h 44min | Adventure/ Comedy/ Family | 20 January 1996 (South Korea),"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
3,113228,6.7,Grumpier Old Men (1995),15 | 1h 41min | Comedy/ Romance | 22 December 1995 (USA),"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
4,114885,5.9,Waiting to Exhale (1995),18 | 2h 4min | Comedy/ Drama/ Romance | 5 April 1996 (South Korea),"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender."
5,113041,6.1,Father of the Bride Part II (1995),15 | 1h 46min | Comedy/ Family/ Romance | 4 May 1996 (South Korea),"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
6,113277,8.2,Heat (1995),18 | 2h 50min | Crime/ Drama/ Thriller | 10 August 1996 (South Korea),A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7,114319,6.3,Sabrina (1995),15 | 2h 7min | Comedy/ Drama/ Romance | 3 February 1996 (South Korea),"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,112302,5.5,Tom and Huck (1995),All | 1h 37min | Adventure/ Comedy/ Drama | 22 December 1995 (USA),Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
9,114576,5.8,Sudden Death (1995),18 | 1h 51min | Action/ Crime/ Thriller | 17 February 1996 (South Korea),A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10,113189,7.2,GoldenEye (1995),15 | 2h 10min | Action/ Adventure/ Thriller | 16 December 1995 (South Korea),"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as 'GoldenEye' is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
11,112346,6.8,The American President (1995),15 | 1h 54min | Comedy/ Drama/ Romance | 16 December 1995 (South Korea),"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but 'politics is perception,' and sparks fly anyway."
12,112896,5.9,Dracula: Dead and Loving It (1995),15 | 1h 28min | Comedy/ Fantasy/ Horror | 3 August 1996 (South Korea),Mel Brooks ' parody of the classic vampire story and its famous film adaptations.
13,112453,7.1,Balto (1995),All | 1h 18min | Animation/ Adventure/ Drama | 22 December 1995 (USA),"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
14,113987,7.1,Nixon (1995),15 | 3h 12min | Biography/ Drama/ History | 17 February 1996 (South Korea),"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
15,112760,5.7,Cutthroat Island (1995),12 | 2h 4min | Action/ Adventure/ Comedy | 6 January 1996 (South Korea),A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16,112641,8.2,Casino (1995),18 | 2h 58min | Crime/ Drama | 16 March 1996 (South Korea),"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast living and fast loving socialite."
17,114388,7.6,Sense and Sensibility (1995),15 | 2h 16min | Drama/ Romance | 16 March 1996 (South Korea),"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
18,113101,6.8,Four Rooms (1995),18 | 1h 38min | Comedy | 13 April 1996 (South Korea),Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,112281,6.4,Ace Ventura: When Nature Calls (1995),All | 1h 30min | Adventure/ Comedy/ Crime | 30 December 1995 (South Korea),"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
20,113845,5.7,Money Train (1995),15 | 1h 50min | Action/ Comedy/ Crime | 16 December 1995 (South Korea),"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
21,113161,6.9,Get Shorty (1995),15 | 1h 45min | Comedy/ Crime/ Thriller | 20 October 1995 (USA),"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
22,112722,6.6,Copycat (1995),18 | 2h 3min | Drama/ Mystery/ Thriller | 12 October 1996 (South Korea),An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,112401,6.4,Assassins (1995),18 | 2h 12min | Action/ Crime/ Thriller | 28 October 1995 (South Korea),Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,114168,6.6,Powder (1995),PG-13 | 1h 51min | Drama/ Fantasy/ Mystery | 27 October 1995 (USA),An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25,113627,7.5,Leaving Las Vegas (1995),18 | 1h 51min | Drama/ Romance | 1 March 1996 (South Korea),"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,114057,6.8,Othello (1995),R | 2h 3min | Drama/ Romance | 19 January 1996 (USA),"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago."
27,114011,6.8,Now and Then (1995),15 | 1h 40min | Comedy/ Drama/ Romance | 30 March 1996 (South Korea),Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28,114117,7.7,Persuasion ,PG | 1h 47min | Drama | Episode aired 16 April 1995,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealthy bachelor, Anne navigates the scheming society that still tries to keep them apart."
29,112682,7.5,La cite des enfants perdus (1995),15 | 1h 52min | Fantasy/ Sci-Fi | 15 June 1996 (South Korea),"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,115012,7.1,"Yao a yao, yao dao wai po qiao (1995)",18 | 1h 48min | Crime/ Drama/ History | 25 March 2000 (South Korea),A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,112792,6.6,Dangerous Minds (1995),15 | 1h 39min | Biography/ Drama | 30 September 1995 (South Korea),An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32,114746,8,Twelve Monkeys (1995),15 | 2h 9min | Mystery/ Sci-Fi/ Thriller | 5 April 1996 (South Korea),"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
33,114952,6.4,Wings of Courage (1995),50min | Adventure/ Romance | 18 September 1996 (France),"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot."
34,112431,6.8,Babe (1995),All | 1h 31min | Comedy/ Drama/ Family | 13 January 1996 (South Korea),"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
35,112637,6.8,Carrington (1995),18 | 2h 1min | Biography/ Drama/ Romance | 2 May 1995 (France),The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.
36,112818,7.5,Dead Man Walking (1995),15 | 2h 2min | Crime/ Drama | 20 July 1996 (South Korea),"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
